@relation 'First trial'

@attribute ﻿Screen_num_7 numeric
@attribute Show_num_7 numeric
@attribute Money_num_7 numeric
@attribute Audience_num_7 numeric
@attribute 'Director Effect' numeric
@attribute 'Distributor Effect' numeric
@attribute Month numeric
@attribute Date numeric
@attribute Nationality numeric
@attribute 'Before grade' numeric
@attribute 'After grade' numeric
@attribute Age numeric
@attribute 'Actor Effect' numeric
@attribute Audience numeric

@data
8148,42066,44011723316,5712639,1,1,7,30,1,8.64,8.48,15,3,17613682
6464,31469,14706509844,1911126,1,1,12,17,1,8.76,9.02,12,2,14245998
4166,19990,15996997500,1926918,1,0,12,17,0,8.75,9.06,12,0,13624328
5958,30967,24554354423,3131493,1,1,8,5,1,8.89,9.02,15,4,13395400
5930,29413,23940933000,3327093,1,1,7,25,1,8.68,7.6,15,6,12983330
4814,22348,16468893702,2288281,1,1,1,23,1,9.53,8.86,15,2,12811206
9760,48089,32678161886,4167057,1,1,7,22,1,8.31,8.97,15,3,12705700
5203,25441,13331147000,1832906,1,1,9,13,1,9.79,9.23,15,3,12319542
11246,63587,40990730776,5105878,1,1,7,20,1,8.22,8.01,15,1,11565078
4465,24759,18161084500,2542655,1,1,7,22,1,7.73,7.5,12,1,11453338
5796,25450,17485021000,2434142,1,1,12,18,1,6.07,8.97,15,3,11372451
12185,63395,37033158400,4312487,1,0,4,23,0,9.52,8.32,12,7,10494499
5705,23051,12972048500,1698161,1,0,1,16,0,9.62,9.12,7,0,10296101
8319,35213,21327431513,2656773,1,0,11,6,0,9.58,9.09,12,1,10273803
11060,58042,43846456551,5443367,1,1,2,3,1,8.99,7.95,15,2,9699092
7567,35607,22721862500,3210132,1,1,9,11,1,9.51,7.96,15,3,9134586
9076,47156,30625554000,3782247,1,0,4,25,0,9.67,8.85,12,2,9001309
6457,32476,26310124500,3653396,1,1,8,1,1,8.17,7.97,15,2,8914845
13189,65844,36897679098,4444185,0,0,4,27,0,9.46,8.68,12,3,8677249
4434,20211,10284024500,1437094,1,1,1,22,1,9.55,8.99,15,1,8656397
5626,27764,17307773925,2259237,1,1,8,6,1,8.11,8.27,12,1,8646758
3674,19137,9253378500,1283923,0,1,7,29,1,8.15,9.13,12,1,8487894
2394,14219,4191956000,637861,1,1,12,3,1,8.91,9.19,12,0,8245523
6563,29043,11285607535,1398809,1,1,1,18,1,8.49,8.3,15,1,7817459
