@relation First_trial_regression_before

@attribute Screen_num_7 numeric
@attribute Show_num_7 numeric
@attribute Money_num_7 numeric
@attribute Audience_num_7 numeric
@attribute 'Director Effect' numeric
@attribute 'Distributor Effect' numeric
@attribute Month numeric
@attribute Nationality numeric
@attribute 'Before grade' numeric
@attribute 'After grade' numeric
@attribute Age numeric
@attribute 'Actor Effect' numeric
@attribute Audience numeric

@data
37,157,172231000,22500,1,1,7,1,8.64,8.48,15,3,17613682
68,236,256465000,33048,1,1,12,1,8.76,9.02,12,2,14245998
552,1176,600712500,70393,1,0,12,0,8.75,9.06,12,0,13624328
39,145,203522400,25421,1,1,8,1,8.89,9.02,15,4,13395400
17,62,126235000,15849,1,1,7,1,8.68,7.6,15,6,12983330
56,115,171635000,24700,1,1,1,1,9.53,8.86,15,2,12811206
37,64,126507000,14375,1,1,7,1,8.31,8.97,15,3,12705700
12,48,74719500,10894,1,1,9,1,9.79,9.23,15,3,12319542
431,2698,4914895100,565286,1,1,7,1,8.22,8.01,15,1,11565078
14,72,98728000,14899,1,1,7,1,7.73,7.5,12,1,11453338
16,89,138050000,19943,1,1,12,1,6.07,8.97,15,3,11372451
6,13,38415000,3501,1,0,4,0,9.52,8.32,12,7,10494499
8,25,60299000,5623,1,0,1,0,9.62,9.12,7,0,10296101
241,255,131316200,15181,1,0,11,0,9.58,9.09,12,1,10273803
20,48,106528000,13008,1,1,2,1,8.99,7.95,15,2,9699092
14,50,75284000,10684,1,1,9,1,9.51,7.96,15,3,9134586
2,2,10252000,697,1,0,4,0,9.67,8.85,12,2,9001309
849,4475,2993597500,435146,1,1,8,1,8.17,7.97,15,2,8914845
4,8,15069000,1264,0,0,4,0,9.46,8.68,12,3,8677249
19,149,195855000,31394,1,1,1,1,9.55,8.99,15,1,8656397
27,167,225478500,35335,1,1,8,1,8.11,8.27,12,1,8646758
58,141,107482000,17343,0,1,7,1,8.15,9.13,12,1,8487894
196,1329,597740000,97413,1,1,12,1,8.91,9.19,12,0,8245523
24,92,126501300,14606,1,1,1,1,8.49,8.3,15,1,7817459
24,24,71373000,6543,1,1,6,0,9.49,7.07,12,1,7784807
77,168,210227500,26776,1,1,12,1,8.17,7.98,12,1,7759473
15,130,236485000,20350,0,1,12,0,9.18,8.73,15,1,7575899
3,7,1853000,277,1,1,6,0,7.72,8.11,12,1,7505700
24,93,165165400,18533,1,0,9,1,8.75,8.41,15,2,7487545
221,852,757947500,100976,1,1,8,1,8.63,7.95,15,1,7466976
240,1124,469103500,59922,1,1,5,1,9,9.11,15,1,7328820
631,1792,1039160500,142751,1,1,1,1,8.83,7.81,15,2,7166199
35,129,213373200,23444,1,1,12,1,8.59,8.11,15,3,7147879
